"SubunitCode","panel_init_year","panel_label","event_ID","CEGL","ba","dens","taxagroup"
"MACA",2016,"2016-2018","{687D6C8B-6049-4DD3-A6D7-C6688E6EAD93}","CEGL007795",10.3535112771563,100,2
"RUCA",2016,"2016-2018","{68C1ED8C-1F99-4564-83D5-B7571FC373D6}","CEGL002070",2.1323560111875,100,2
"SHIL",2016,"2016-2018","{69530187-9E48-4FDC-93F2-0FCA0341534A}","CEGL002431",7.51036992890625,50,2
"KIMO",2011,"2011-2013","{69A004F9-A253-4922-A5E4-14117EEBF1D8}","CEGL008431",0.33183072365625,25,2
"COWP",2011,"2011-2013","{69E1AE4C-C895-485D-ABDD-39A9D7D0C089}","CEGL007216",2.68802521115625,75,2
"CUGA",2016,"2016-2018","{6A08DB0A-E4DC-4C9C-A668-12F815B82254}","CEGL007240",2.79012697228125,75,2
"KNOB",2011,"2011-2013","{6AC5C8BE-4560-49A4-941E-C9024C46DC2D}","CEGL002070",0.7853981625,25,2
"CUGA",2016,"2016-2018","{6B24322C-388F-4380-B696-364D97E0C7F2}","CEGL007267",24.8303629074375,150,2
"LIRI",2016,"2016-2018","{6BA603BD-56E2-423A-8786-81F8BF145817}","CEGL007244",2.91186368746875,150,2
"KNOB",2011,"2011-2013","{6C582672-9359-4183-A592-78783F873FAA}","CEGL004741",20.7207670221563,150,2
"NISI",2016,"2016-2018","{6CE72E98-1C38-4515-B50B-F46B5D94C291}","CEGL008462",,0,2
"RUCA",2011,"2011-2013","{6CEF417E-77B0-4E3B-BFBF-7D0C1E91BEFA}","CEGL008431",0.565486677,50,2
"RUCA",2011,"2011-2013","{6D88A099-D7F7-4C47-83A1-ABABD1FAE902}","CEGL007268",1.452986600625,75,2
"CARL",2011,"2011-2013","{6DAFBCF9-6165-4FCF-9E55-4FE60044F35E}","CEGL007267",1.9045905440625,50,2
"GUCO",2011,"2011-2013","{6DF5C273-D5D4-41D1-B37B-82CF392206AB}","CEGL008475",2.06756066278125,50,2
"LIRI",2016,"2016-2018","{6E5645F8-16AE-4AC1-9A5A-54DDADD50CC2}","CEGL007493",1.5590153525625,125,2
"MACA",2011,"2011-2013","{6F0C2DE2-C851-4B01-962E-C973DCC5E93A}","CEGL008442",11.5669514382187,100,2
"GUCO",2016,"2016-2018","{7030A969-863E-4DD8-8D7B-D8FA172727F3}","CEGL007221",2.1009400846875,125,2
"LIRI",2011,"2011-2013","{7032DA48-EC5A-41EF-849A-2AF81B9822E8}","CEGL008430",3.58337911640625,50,2
"SHIL",2011,"2011-2013","{70FDB1E2-C8E4-4E3A-84CC-CB9F05B8C4B2}","CEGL007246",0.70882184165625,25,2
"CUGA",2016,"2016-2018","{714D71F5-67C0-4370-8DF6-8231D6B73AFB}","CEGL007296",0.62242804378125,50,2
"MACA",2016,"2016-2018","{71CCC62C-E583-4AA8-A0E4-3C448A33FE63}","CEGL004133",0,0,2
"CUGA",2016,"2016-2018","{733A7AF1-FCFD-43F3-B448-763D836DFAC5}","CEGL006271",10.6068021845625,450,2
