location_name,QAQC,event_year,event_name_calc,Transect,Diameter,Decay_Class
CHIC002,0,2016,CHIC002,Y,7.5,3
CHIC002,0,2016,CHIC002,X,11,2
CHIC002,0,2016,CHIC002,X,12,3
CHIC002,0,2016,CHIC002,Y,8,2
CHIC002,0,2016,CHIC002,X,16,4
CHIC002,-1,2016,CHIC002Q,X,10,2
CHIC002,-1,2016,CHIC002Q,X,11,3
CHIC002,-1,2016,CHIC002Q,X,17,4
CHIC002,-1,2016,CHIC002Q,Y,8,2
STRI008,-1,2011,STRI008Q,Y,14,2
STRI008,-1,2011,STRI008Q,X,18,3
STRI008,-1,2011,STRI008Q,X,25,2
STRI008,0,2011,STRI008,X,24.4,3
STRI008,0,2011,STRI008,Y,12.6,2
COWP019,0,2012,COWP019,X,8,2
COWP019,-1,2012,COWP019Q,Y,9,2
COWP019,-1,2012,COWP019Q,X,11,4
COWP019,-1,2012,COWP019Q,X,8,4
MACA031,0,2014,MACA031,Y,10,2
MACA031,0,2014,MACA031,Y,7.5,2
MACA031,0,2014,MACA031,Y,8,3
MACA031,0,2014,MACA031,X,22,2
MACA031,0,2014,MACA031,Y,10,2
MACA031,0,2014,MACA031,Y,9,3
MACA031,-1,2014,MACA031Q,Y,11,1
MACA031,-1,2014,MACA031Q,Y,10,1
MACA031,-1,2014,MACA031Q,Y,9,2
MACA031,-1,2014,MACA031Q,Y,8,2
MACA031,-1,2014,MACA031Q,Y,10,1
MACA031,-1,2014,MACA031Q,X,17,2
MACA031,-1,2014,MACA031Q,Y,11,2
KIMO013,0,2012,KIMO013,Y,9,2
KIMO013,0,2012,KIMO013,Y,12,3
KIMO013,0,2012,KIMO013,Y,11,3
KIMO013,-1,2012,KIMO013Q,Y,14,4
KIMO013,-1,2012,KIMO013Q,Y,12,3
KIMO013,-1,2012,KIMO013Q,X,13,3
KIMO013,-1,2012,KIMO013Q,Y,11,2
KIMO013,-1,2012,KIMO013Q,X,14,2
KIMO013,-1,2012,KIMO013Q,X,14,3
KIMO013,-1,2012,KIMO013Q,Y,13,3
KIMO013,-1,2012,KIMO013Q,X,15,5
KIMO013,-1,2012,KIMO013Q,X,10,4
KIMO013,-1,2012,KIMO013Q,X,10,2
GUCO008,0,2011,GUCO008,Y,12,3
GUCO008,0,2011,GUCO008,Y,11,2
GUCO008,0,2011,GUCO008,Y,13,3
GUCO008,0,2011,GUCO008,X,9,3
GUCO008,0,2011,GUCO008,X,17,3
GUCO008,0,2011,GUCO008,Y,12,3
GUCO008,0,2011,GUCO008,X,25,3
GUCO008,0,2011,GUCO008,X,13,3
GUCO008,0,2011,GUCO008,Y,27,3
GUCO008,0,2011,GUCO008,Y,11,2
GUCO008,0,2011,GUCO008,X,17,2
GUCO008,0,2011,GUCO008,X,19,3
GUCO008,0,2011,GUCO008,X,19,2
GUCO008,0,2011,GUCO008,Y,23,3
GUCO008,0,2011,GUCO008,X,19,3
GUCO008,0,2011,GUCO008,Y,15,2
GUCO008,0,2011,GUCO008,X,11,3
GUCO008,0,2011,GUCO008,X,15,5
GUCO008,-1,2011,GUCO008Q,Y,23,4
