location_name,QAQC,event_year,event_name_calc,Module,Direction,Spherical_Densiometer_Tally
GUCO009,0,2011,GUCO009,4,S,90
GUCO009,0,2011,GUCO009,1,E,92
GUCO009,0,2011,GUCO009,2,N,85
GUCO009,0,2011,GUCO009,3,W,84
GUCO009,0,2011,GUCO009,3,S,86
GUCO009,0,2011,GUCO009,4,N,82
GUCO009,-1,2011,GUCO009Q,2,E,79
GUCO009,-1,2011,GUCO009Q,2,S,84
GUCO009,-1,2011,GUCO009Q,4,N,90
GUCO009,-1,2011,GUCO009Q,2,W,85
GUCO009,-1,2011,GUCO009Q,1,S,79
GUCO009,-1,2011,GUCO009Q,4,W,89
GUCO009,-1,2011,GUCO009Q,3,N,87
GUCO009,-1,2011,GUCO009Q,3,E,83
GUCO009,-1,2011,GUCO009Q,4,E,92
GUCO009,-1,2011,GUCO009Q,1,W,88
GUCO009,-1,2011,GUCO009Q,1,N,89
GUCO009,-1,2011,GUCO009Q,2,N,87
GUCO009,-1,2011,GUCO009Q,4,S,79
GUCO009,-1,2011,GUCO009Q,3,S,89
GUCO009,-1,2011,GUCO009Q,3,W,84
GUCO009,-1,2011,GUCO009Q,1,E,85
MACA001,-1,2016,MACA001Q,2,E,88
MACA001,-1,2016,MACA001Q,2,S,81
MACA001,-1,2016,MACA001Q,1,S,88
MACA001,-1,2016,MACA001Q,3,N,81
MACA001,-1,2016,MACA001Q,1,N,85
MACA001,-1,2016,MACA001Q,3,E,92
MACA001,-1,2016,MACA001Q,3,W,90
MACA001,-1,2016,MACA001Q,2,W,86
MACA001,-1,2016,MACA001Q,2,N,86
MACA001,-1,2016,MACA001Q,4,E,93
MACA001,-1,2016,MACA001Q,4,S,90
MACA001,-1,2016,MACA001Q,1,W,86
MACA001,-1,2016,MACA001Q,4,W,90
MACA001,-1,2016,MACA001Q,4,N,91
MACA001,-1,2016,MACA001Q,3,S,89
MACA001,-1,2016,MACA001Q,1,E,90
MACA001,0,2016,MACA001,1,S,91
