Park,SubPark,CEGL,community name,CommunityAlliance,CommunityGroup,CommunityMacroGroup,"Count of plots in subpark, this cegl",gp1,gp2,MP comment
CHCH,LOOK,CEGL004418,Liquidambar styraciflua - Liriodendron tulipifera / Lindera benzoin / Arisaema triphyllum Floodplain Forest,A3626 Tuliptree - White Oak - Sweetgum Piedmont Floodplain Forest Alliance AKA Liriodendron tulipifera - Quercus alba - Liquidambar styraciflua Piedmont Floodplain Forest Alliance,G034 Oak - Sweetgum Floodplain Forest Group,M031 Southern Coastal Plain Floodplain Forest Macrogroup,1,Floodplain Forest,Floodplain Forest,
COWP,COWP,CEGL004418,Liquidambar styraciflua - Liriodendron tulipifera / Lindera benzoin / Arisaema triphyllum Floodplain Forest,A3626 Tuliptree - White Oak - Sweetgum Piedmont Floodplain Forest Alliance AKA Liriodendron tulipifera - Quercus alba - Liquidambar styraciflua Piedmont Floodplain Forest Alliance,G034 Oak - Sweetgum Floodplain Forest Group,M031 Southern Coastal Plain Floodplain Forest Macrogroup,3,Floodplain Forest,Floodplain Forest,
KIMO,KIMO,CEGL004418,Liquidambar styraciflua - Liriodendron tulipifera / Lindera benzoin / Arisaema triphyllum Floodplain Forest,A3626 Tuliptree - White Oak - Sweetgum Piedmont Floodplain Forest Alliance AKA Liriodendron tulipifera - Quercus alba - Liquidambar styraciflua Piedmont Floodplain Forest Alliance,G034 Oak - Sweetgum Floodplain Forest Group,M031 Southern Coastal Plain Floodplain Forest Macrogroup,1,Floodplain Forest,Floodplain Forest,
NISI,NISI,CEGL008487,Quercus shumardii - Quercus michauxii - Quercus nigra / Acer floridanum - Tilia americana var. heterophylla Swamp Forest,A3630 Swamp Chestnut Oak - Shellbark Hickory - Sweetgum Interior Floodplain Forest Alliance AKA Quercus michauxii - Carya laciniosa - Liquidambar styraciflua Interior Floodplain Forest Alliance,G034 Oak - Sweetgum Floodplain Forest Group,M031 Southern Coastal Plain Floodplain Forest Macrogroup,2,Floodplain Forest,Floodplain Forest,
SHIL,SHIL,CEGL002427,Fraxinus pennsylvanica - Ulmus americana - Celtis laevigata / Ilex decidua Floodplain Forest,A3700 Green Ash - American Sycamore - Silver Maple Ozark-Ouachita Floodplain Forest Alliance AKA Fraxinus pennsylvanica - Platanus occidentalis - Acer saccharinum Ozark-Ouachita Floodplain Forest Alliance,G673 Silver Maple - Sugarberry - Sweetgum Floodplain Forest Group,M029 Central Hardwood Floodplain Forest Macrogroup,1,Floodplain Forest,Floodplain Forest,
CUGA,CUGA,CEGL006492,Liriodendron tulipifera - Acer negundo - (Platanus occidentalis) / Carpinus caroliniana / Polygonum virginianum Floodplain Forest,A3701 American Sycamore - Green Ash - Tuliptree Central Appalachian-Piedmont Floodplain Forest Alliance AKA Platanus occidentalis - Fraxinus pennsylvanica - Liriodendron tulipifera Central Appalachian-Piedmont Floodplain Forest Alliance,G673 Silver Maple - Sugarberry - Sweetgum Floodplain Forest Group,M029 Central Hardwood Floodplain Forest Macrogroup,1,Floodplain Forest,Floodplain Forest,
CHCH,CHIC,CEGL008429,Platanus occidentalis - Celtis laevigata - Liriodendron tulipifera / Lindera benzoin - Arundinaria gigantea / Amphicarpaea bracteata Floodplain Forest,A3702 American Sycamore - Sweetgum - Tuliptree Southern Appalachian Floodplain Forest Alliance AKA Platanus occidentalis - Liquidambar styraciflua - Liriodendron tulipifera Southern Appalachian Floodplain Forest Alliance,G673 Silver Maple - Sugarberry - Sweetgum Floodplain Forest Group,M029 Central Hardwood Floodplain Forest Macrogroup,4,Floodplain Forest,Floodplain Forest,
CUGA,CUGA,CEGL006287,Fraxinus profunda - Nyssa biflora - (Fraxinus pennsylvanica) / Ilex verticillata / Polygonum arifolium Tidal Forest,A3705 Green Ash - Red Maple - Southern Red-cedar Tidal Floodplain Forest Alliance AKA Fraxinus pennsylvanica - Acer rubrum - Juniperus virginiana var. silicicola Tidal Floodplain Forest Alliance,G759 Southern Ash - Elm - Willow Floodplain Forest Group,M031 Southern Coastal Plain Floodplain Forest Macrogroup,1,Floodplain Forest,Floodplain Forest,
CHCH,LOOK,CEGL007334,Platanus occidentalis - Acer saccharinum - Juglans nigra - Ulmus rubra Floodplain Forest,A3712 American Sycamore - River Birch Floodplain Forest Alliance AKA Platanus occidentalis - Betula nigra Floodplain Forest Alliance,G652 Silver Maple - Green Ash - Sycamore Floodplain Forest Group,M029 Central Hardwood Floodplain Forest Macrogroup,1,Floodplain Forest,Floodplain Forest,
FODO,HEIM,CEGL007334,Platanus occidentalis - Acer saccharinum - Juglans nigra - Ulmus rubra Floodplain Forest,A3712 American Sycamore - River Birch Floodplain Forest Alliance AKA Platanus occidentalis - Betula nigra Floodplain Forest Alliance,G652 Silver Maple - Green Ash - Sycamore Floodplain Forest Group,M029 Central Hardwood Floodplain Forest Macrogroup,1,Floodplain Forest,Floodplain Forest,
CHCH,CHIC,CEGL003807,Ligustrum sinense Ruderal Upland Shrubland,A4084 Privet species Eastern Ruderal Exotic Shrubland Alliance AKA Ligustrum spp. Eastern Exotic Ruderal Shrubland Alliance,G583 Southeastern Ruderal Grassland & Shrubland Group,M307 Southeastern Ruderal Grassland & Shrubland Macrogroup,1,Floodplain Forest,Floodplain Forest,
CHCH,LOOK,CEGL005033,Acer negundo Ruderal Floodplain Forest,A4099 Box-elder - River Birch / Garlic Mustard Ruderal Floodplain Forest Alliance AKA Acer negundo - Betula nigra / Alliaria petiolata Ruderal Floodplain Forest Alliance,G552 Eastern North American Ruderal Flooded & Swamp Forest Group,M302 Eastern North American Ruderal Flooded & Swamp Forest Macrogroup,3,Floodplain Forest,Floodplain Forest,
STRI,STRI,CEGL003938,Juniperus virginiana var. virginiana - Forestiera ligustrina - Rhus aromatica - Hypericum frondosum Shrubland,A1049 Eastern Red-cedar - Fragrant Sumac Alkaline Bedrock Shrubland Alliance AKA Juniperus virginiana - Rhus aromatica Alkaline Bedrock Shrubland Alliance,G179 Central Interior Alkaline Open Glade & Barrens Group,M508 Central Interior Calcareous Scrub & Grassland Macrogroup,2,Mafic Glade,Mafic/calcareous/alkaline Glade,Mafic/calcareous/alkaline glade
CUGA,CUGA,CEGL007296,Quercus alba / Physocarpus opulifolius / Packera plattensis - Hexastylis arifolia var. ruthii Forest,A3467 Oak species - Pine species Appalachian Ultramafic Scrub Alliance AKA Quercus spp. - Pinus spp. Appalachian Ultramafic Scrub Alliance,G180 Appalachian Mafic Glade Group,M506 Appalachian Rocky Felsic & Mafic Scrub & Grassland Macrogroup,1,Mafic Glade,Mafic/calcareous/alkaline Glade,Mafic/calcareous/alkaline glade
CUGA,CUGA,CEGL005222,Liriodendron tulipifera - Tilia americana var. heterophylla - Aesculus flava - Acer saccharum / (Magnolia tripetala) Forest,A0235 Tuliptree - Appalachian Basswood - Yellow Buckeye Forest Alliance AKA Liriodendron tulipifera - Tilia americana var. heterophylla - Aesculus flava Forest Alliance,G020 Appalachian-Central Interior Mesic Forest Group,M883 Appalachian-Interior-Northeastern Mesic Forest Macrogroup,1,Mixed mesophytic / Mesic Oak,Mixed mesophytic / Mesic Oak,
