Park,SubPark,CEGL,community name,CommunityAlliance,CommunityGroup,CommunityMacroGroup,"Count of plots in subpark, this cegl",gp1,gp2,MP comment
CHCH,CHIC,CEGL004731,Juniperus virginiana var. virginiana - Quercus spp. Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
COWP,COWP,CEGL006327,Pinus echinata Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,4,Ruderal Forest,Ruderal Forest,
GUCO,GUCO,CEGL006327,Pinus echinata Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
SHIL,SHIL,CEGL006327,Pinus echinata Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
MACA,MACA,CEGL007121,Pinus virginiana - Juniperus virginiana var. virginiana - Ulmus alata Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
ABLI,BIRT,CEGL007124,Juniperus virginiana var. virginiana - (Quercus spp.) Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
FODO,DONE,CEGL007124,Juniperus virginiana var. virginiana - (Quercus spp.) Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
MACA,MACA,CEGL007124,Juniperus virginiana var. virginiana - (Quercus spp.) Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,6,Ruderal Forest,Ruderal Forest,
STRI,STRI,CEGL007124,Juniperus virginiana var. virginiana - (Quercus spp.) Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,15,Ruderal Forest,Ruderal Forest,
CARL,CARL,CEGL007944,Pinus strobus Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
