Fire_Name,Park,Plot,Date_Plot_Established,Date_Plot_Revisited,Fire_Start_Date,NOTES
02/103,LIRI,LIRI035,5/12/14,,3/9/07,
Slant Rock Rx 2010,LIRI,LIRI035,5/12/14,,4/6/10,
South East Complex,LIRI,LIRI035,5/12/14,,4/29/14,
Slant Rock Complex,LIRI,LIRI035,5/12/14,,3/5/17,
02/103,LIRI,LIRI037,5/12/14,,3/9/07,
South East Complex,LIRI,LIRI037,5/12/14,,4/29/14,
"LIRI NE Complex South FY18, 2018",LIRI,LIRI037,5/12/14,,4/2/18,
Joppa Church Broadcast Burn,MACA,MACA003,9/15/11,9/13/16,4/19/05,
FY2010 Joppa Church Broadacst Burn,MACA,MACA003,9/15/11,9/13/16,4/3/10,
Floating Mill Hollow-Broadcast Burn,MACA,MACA008,9/12/11,9/14/16,4/27/06,
FY2010 Floating Mill Hollow Broadcast Burn,MACA,MACA008,9/12/11,9/14/16,4/3/10,
FY2010 Onyx Meadow Broadcast Burn,MACA,MACA008,9/12/11,9/14/16,4/30/10,"Recorded as 4/31/10, but that date does not exist so changed to 4/30/10"
Joppa Church Broadcast Burn,MACA,MACA010,9/20/12,9/15/17,4/19/05,
FY2010 Joppa Church Broadacst Burn,MACA,MACA010,9/20/12,9/15/17,4/3/10,
Floating Mill Hollow-Broadcast Burn,MACA,MACA011,9/19/12,9/11/17,4/27/06,
FY2010 Floating Mill Hollow Broadcast Burn,MACA,MACA011,9/19/12,9/11/17,4/3/10,
FY2010 Onyx Meadow Broadcast Burn,MACA,MACA011,9/19/12,9/11/17,4/30/10,"Recorded as 4/31/10, but that date does not exist so changed to 4/30/10"
Joppa Church Broadcast Burn,MACA,MACA014,9/20/12,9/15/17,4/19/05,
FY2010 Joppa Church Broadacst Burn,MACA,MACA014,9/20/12,9/15/17,4/3/10,
Goblin Knob Broadcast Burn,MACA,MACA015,9/19/12,9/20/17,4/15/08,
Temple Hill - Broadcast Burn,MACA,MACA017,9/22/12,9/11/17,3/23/09,
Temple Hill - Broadcast Burn,MACA,MACA021,9/10/13,9/10/18,3/23/09,
Jim Lee-Broadcast Burn,MACA,MACA026,9/12/13,9/13/18,4/30/04,
Jim Lee-Broadcast Burn,MACA,MACA026,9/12/13,9/13/18,3/20/09,
Crystal Cave Broadcast Burn,MACA,MACA031,9/8/14,,4/17/05,
FY2012 Crystal Cave Broadcast Burn,MACA,MACA031,9/8/14,,4/8/12,
Temple Hill - Broadcast Burn,MACA,MACA033,9/9/14,,3/23/09,
Floating Mill Hollow-Broadcast Burn,MACA,MACA039,9/8/14,,4/27/06,
FY2010 Floating Mill Hollow Broadcast Burn,MACA,MACA039,9/8/14,,4/3/10,
FY2010 Onyx Meadow Broadcast Burn,MACA,MACA039,9/8/14,,4/30/10,"Recorded as 4/31/10, but that date does not exist so changed to 4/30/10"
Crystal Cave Broadcast Burn,MACA,MACA040,9/8/14,,4/17/05,
FY2012 Crystal Cave Broadcast Burn,MACA,MACA040,9/8/14,,4/8/12,
Goblin Knob Broadcast Burn,MACA,MACA043,9/11/14,,4/15/08,
Jim Lee-Broadcast Burn,MACA,MACA044,9/3/15,,4/30/04,
Jim Lee-Broadcast Burn,MACA,MACA044,9/3/15,,3/20/09,
Dennison Ferry Broadcast Burn,MACA,MACA047,8/31/15,,4/30/07,
Jim Lee-Broadcast Burn,MACA,MACA051,9/1/15,,4/30/04,
Jim Lee-Broadcast Burn,MACA,MACA051,9/1/15,,3/20/09,
Floating Mill Hollow-Broadcast Burn,MACA,MACA052,9/1/15,,4/27/06,
FY2010 Floating Mill Hollow Broadcast Burn,MACA,MACA052,9/1/15,,4/3/10,
FY2010 Onyx Meadow Broadcast Burn,MACA,MACA052,9/1/15,,4/30/10,"Recorded as 4/31/10, but that date does not exist so changed to 4/30/10"
Brooks Knob Broadcast Burn,MACA,MACA054,9/2/15,,4/16/08,
Goblin Knob Broadcast Burn,MACA,MACA055,9/2/15,,4/15/08,
Goblin Knob Broadcast Burn,MACA,MACA059,9/15/16,,4/15/08,
Joppa Church Broadcast Burn,MACA,MACA062,9/11/17,,4/19/05,
FY2010 Joppa Church Broadacst Burn,MACA,MACA062,9/11/17,,4/3/10,
Cave Unit,RUCA,RUCA003,5/25/11,5/20/16,4/18/06,
Montague,RUCA,RUCA004,5/23/11,5/24/16,5/3/05,
Cave Unit,RUCA,RUCA009,5/24/11,5/24/16,4/18/06,
Cave Unit,RUCA,RUCA010,5/25/11,5/23/16,4/18/06,
Cave Unit,RUCA,RUCA013,5/22/12,5/10/17,4/18/06,
Cave Unit,RUCA,RUCA014,5/23/12,5/8/17,4/18/06,
Cave Unit,RUCA,RUCA015,5/22/12,5/10/17,4/18/06,
Montague,RUCA,RUCA017,5/22/12,5/9/17,5/3/05,
Mtn. Rd.,RUCA,RUCA017,5/22/12,5/9/17,5/3/05,
Cave Unit,RUCA,RUCA019,5/20/12,5/8/17,4/18/06,
Montague,RUCA,RUCA020,5/21/12,5/9/17,5/3/05,
Cave Unit,RUCA,RUCA022,5/23/12,5/10/17,4/18/06,
Montague,RUCA,RUCA024,5/21/13,5/14/18,5/3/05,
Mtn. Rd.,RUCA,RUCA024,5/21/13,5/14/18,5/3/05,
Cave Unit,RUCA,RUCA025,5/21/13,5/14/18,4/18/06,
Cave Unit,RUCA,RUCA026,5/22/13,5/15/18,4/18/06,
SHIL FY15 Prescribed Fire,SHIL,SHIL003,6/13/11,6/14/16,2/11/15,
SHIL FY17 Prescribed Fire,SHIL,SHIL003,6/13/11,6/14/16,1/28/17,
SHIL FY15 Prescribed Fire,SHIL,SHIL004,6/13/11,6/14/16,2/11/15,
SHIL FY16 Prescribed Fire,SHIL,SHIL006,6/14/11,6/13/16,2/5/16,
SHIL FY15 Prescribed Fire,SHIL,SHIL010,6/15/11,6/14/16,2/11/15,
SHIL FY14 Prescribed Fire,SHIL,SHIL014,6/12/12,6/14/17,3/13/14,
SHIL FY17 Prescribed Fire,SHIL,SHIL014,6/12/12,6/14/17,1/28/17,
SHIL FY15 Prescribed Fire,SHIL,SHIL016,6/12/12,6/13/17,2/11/15,
SHIL FY14 Prescribed Fire,SHIL,SHIL020,6/12/12,6/13/17,3/13/14,
SHIL FY17 Prescribed Fire,SHIL,SHIL020,6/12/12,6/13/17,1/28/17,
SHIL FY15 Prescribed Fire,SHIL,SHIL026,6/14/12,6/14/17,2/11/15,
SHIL FY16 Prescribed Fire,SHIL,SHIL028,6/10/13,6/11/18,2/5/16,
STRI Prescribed Fire FY14,STRI,STRI004,7/11/11,7/11/16,4/15/14,
STRI Prescribed Fire FY16,STRI,STRI004,7/11/11,7/11/16,3/14/16,
STRI FY17 Prescribed Fire,STRI,STRI005,7/12/11,7/12/16,3/9/17,
"STRI McFadden Farm FY18, 2018",STRI,STRI005,7/12/11,7/12/16,1/31/18,
STRI Prescribed Fire FY14,STRI,STRI007,7/12/11,7/13/16,4/15/14,
STRI Prescribed Fire FY16,STRI,STRI007,7/12/11,7/13/16,3/14/16,
STRI FY12 Prescribed Fire,STRI,STRI008,7/13/11,7/12/16,3/7/12,
STRI Prescribed Fire FY14,STRI,STRI010,7/14/11,7/13/16,4/15/14,
STRI FY12 Prescribed Fire,STRI,STRI010,7/14/11,7/13/16,3/7/12,
STRI Prescribed Fire FY16,STRI,STRI010,7/14/11,7/13/16,3/14/16,
STRI FY12 Prescribed Fire,STRI,STRI011,7/12/11,7/12/16,3/7/12,
STRI Prescribed Fire FY16,STRI,STRI012,7/13/11,7/14/16,3/14/16,
STRI Prescribed Fire FY14,STRI,STRI012,7/13/11,7/14/16,4/15/14,
STRI Prescribed Fire FY16,STRI,STRI015,7/10/12,7/12/17,3/14/16,
STRI Prescribed Fire FY14,STRI,STRI015,7/10/12,7/12/17,4/15/14,
STRI Prescribed Fire FY14,STRI,STRI020,7/14/11,7/11/16,4/15/14,
STRI Prescribed Fire FY16,STRI,STRI020,7/14/11,7/11/16,3/14/16,
STRI FY12 Prescribed Fire,STRI,STRI024,7/9/12,7/13/17,3/7/12,
STRI FY12 Prescribed Fire,STRI,STRI031,7/10/12,7/12/17,3/7/12,
STRI Prescribed Fire FY14,STRI,STRI036,7/11/12,7/11/17,4/15/14,
STRI Prescribed Fire FY16,STRI,STRI036,7/11/12,7/11/17,3/14/16,
McFadden Farm Fuel Reduction FY10,STRI,STRI037,7/12/12,7/10/17,3/7/10,
"STRI McFadden Farm FY18, 2018",STRI,STRI037,7/12/12,7/10/17,1/31/18,
STRI Prescribed Fire FY14,STRI,STRI038,7/11/12,7/11/17,4/15/14,
STRI Prescribed Fire FY16,STRI,STRI038,7/11/12,7/11/17,3/14/16,
STRI FY12 Prescribed Fire,STRI,STRI039,7/11/12,7/11/17,3/7/12,
STRI Prescribed Fire FY14,STRI,STRI040,7/8/13,7/9/18,4/15/14,
STRI FY12 Prescribed Fire,STRI,STRI040,7/8/13,7/9/18,3/7/12,
STRI Prescribed Fire FY16,STRI,STRI040,7/8/13,7/9/18,3/14/16,
STRI Prescribed Fire FY16,STRI,STRI043,7/8/13,7/9/18,3/14/16,
STRI Prescribed Fire FY14,STRI,STRI043,7/8/13,7/9/18,4/15/14,
STRI FY12 Prescribed Fire,STRI,STRI047,7/9/13,7/10/18,3/7/12,
