location_name,QAQC,event_year,event_name_calc,Module,Corner,Species_Original,Plant_Concept_Current_IDF,Seedling_Ht_5_50,Seedling_Ht_50_137,Sapling_DBH_0_1,Sapling_DBH_1_2half,Sapling_DBH_2half_5,Sapling_DBH_5_10,Seedling_Ht_5_15,Seedling_Ht_15_30,Seedling_Ht_30_50
KIMO011,0,2012,KIMO011,4,2,QUERMARL,{0CA6C47D-2DAE-4128-A2EC-AFA07CF453BD},,1,,,,,,,
KIMO011,0,2012,KIMO011,4,2,PINUTAE,{605ECD93-426B-4FE9-B292-2021297BEAFC},,,,,1,,,,
KIMO011,0,2012,KIMO011,4,3,PINUTAE,{605ECD93-426B-4FE9-B292-2021297BEAFC},1,,,,,,,,
KIMO011,0,2012,KIMO011,2,2,LIQUSTY,{A0A66D11-EA4A-496D-8AD8-794EE9D3C1CA},1,,,,,,,,
KIMO011,0,2012,KIMO011,2,2,PINUTAE,{605ECD93-426B-4FE9-B292-2021297BEAFC},,,,,,1,,,
KIMO011,0,2012,KIMO011,2,3,QUERPRIU,{F4C1717E-6390-4AE6-82A2-060BA511EC6E},4,,,,,,,,
KIMO011,0,2012,KIMO011,4,2,QUERCOC,{2BCB9243-7E5B-468B-9A34-E46B26139580},,2,,,,,,,
KIMO011,0,2012,KIMO011,4,2,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},2,,,,,1,,,
KIMO011,0,2012,KIMO011,3,4,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},4,,,,,,,,
KIMO011,0,2012,KIMO011,3,4,QUERVEL,{98FEDA8E-4F45-425F-A9B2-C2762A2E775F},,,,,1,,,,
KIMO011,0,2012,KIMO011,1,2,ACERRUB,{F005F3BB-6045-4A0B-A022-F6AB3D4D4043},7,,,,,,,,
KIMO011,0,2012,KIMO011,3,4,OXYDARB,{618394AC-EC81-4F3E-9466-9C6CE04786C7},,,,,,1,,,
KIMO011,0,2012,KIMO011,1,2,QUERMARL,{0CA6C47D-2DAE-4128-A2EC-AFA07CF453BD},4,,,,,1,,,
KIMO011,0,2012,KIMO011,2,2,QUERMARL,{0CA6C47D-2DAE-4128-A2EC-AFA07CF453BD},1,3,,,,,,,
